Dataset,Feature,Coefficient,Odds_Ratio,Abs_Coef,Model_Accuracy
Raw,IsHard_Perf,-2.248956426753615,0.105509273785032,2.248956426753615,0.7416666666666667
Raw,IsMedium,-1.2052031119597113,0.29963113466531394,1.2052031119597113,0.7416666666666667
Raw,NonNative_x_Medium,0.6983983602787116,2.010529982656301,0.6983983602787116,0.7416666666666667
Raw,NonNative_x_Hard,-0.5111099693476393,0.5998294169044349,0.5111099693476393,0.7416666666666667
Raw,IsNonNative,-0.2564656297925166,0.7737815891362047,0.2564656297925166,0.7416666666666667
Raw,HighEdu_x_Hard,0.20380758348926908,1.2260622161442518,0.20380758348926908,0.7416666666666667
Raw,IsHighEdu,-0.1974256940304331,0.8208411317578498,0.1974256940304331,0.7416666666666667
Raw,ConfidenceNorm,0.17435961117958856,1.1904836000645003,0.17435961117958856,0.7416666666666667
Raw,ClickCount,0.13945776092809356,1.1496502445331338,0.13945776092809356,0.7416666666666667
Raw,IsSTEM,0.04076341502020937,1.0416056481413538,0.04076341502020937,0.7416666666666667
Raw,IsOlder35,-0.008632035900252069,0.9914051131541365,0.008632035900252069,0.7416666666666667
Cleaned,IsHard_Perf,-2.181067180408773,0.11292095928071212,2.181067180408773,0.7283372365339579
Cleaned,IsMedium,-1.1429936104649356,0.31886303987841136,1.1429936104649356,0.7283372365339579
Cleaned,NonNative_x_Hard,-0.7021836208115522,0.49550213283505895,0.7021836208115522,0.7283372365339579
Cleaned,NonNative_x_Medium,0.6125557271830786,1.8451410550708747,0.6125557271830786,0.7283372365339579
Cleaned,IsHighEdu,-0.43127268074250674,0.6496817309222995,0.43127268074250674,0.7283372365339579
Cleaned,ConfidenceNorm,0.2826489777890346,1.3266394001801947,0.2826489777890346,0.7283372365339579
Cleaned,HighEdu_x_Hard,0.24162805591313577,1.2733205006972472,0.24162805591313577,0.7283372365339579
Cleaned,IsNonNative,-0.22906509651561222,0.795276762073884,0.22906509651561222,0.7283372365339579
Cleaned,ClickCount,0.07910751746139612,1.0823206841871031,0.07910751746139612,0.7283372365339579
Cleaned,IsOlder35,0.03926390743633655,1.0400449230245794,0.03926390743633655,0.7283372365339579
Cleaned,IsSTEM,-0.027707918303230068,0.972672425127441,0.027707918303230068,0.7283372365339579
