Partition,Group,N,TP,FP,TN,FN,AP,AP_d,AP_unfair,SP,SP_d,SP_unfair,TPR,TPR_d,TPR_unfair,TNR,TNR_d,TNR_unfair,PPV,PPV_d,PPV_unfair,NPV,NPV_d,NPV_unfair,FPR,FPR_d,FPR_unfair,FNR,FNR_d,FNR_unfair,FDR,FDR_d,FDR_unfair,FOR,FOR_d,FOR_unfair
LinguisticGroup,Native,392,119,48,148,77,0.6811,0.0082,False,0.3036,0.0098,False,0.6071,0.0196,False,0.7551,-0.0032,False,0.7126,0.004,False,0.6578,0.0101,False,0.2449,0.0032,False,0.3929,-0.0196,False,0.2874,-0.004,False,0.3422,-0.0101,False
LinguisticGroup,Non-Native,88,22,10,34,22,0.6364,-0.0366,False,0.25,-0.0438,False,0.5,-0.0875,False,0.7727,0.0144,False,0.6875,-0.021,False,0.6071,-0.0405,False,0.2273,-0.0144,False,0.5,0.0875,False,0.3125,0.021,False,0.3929,0.0405,False
ExpertiseGroup,Non-STEM,144,42,17,55,30,0.6736,0.0007,False,0.2917,-0.0021,False,0.5833,-0.0042,False,0.7639,0.0056,False,0.7119,0.0033,False,0.6471,-0.0006,False,0.2361,-0.0056,False,0.4167,0.0042,False,0.2881,-0.0033,False,0.3529,0.0006,False
ExpertiseGroup,STEM,336,99,41,127,69,0.6726,-0.0003,False,0.2946,0.0009,False,0.5893,0.0018,False,0.756,-0.0024,False,0.7071,-0.0014,False,0.648,0.0003,False,0.244,0.0024,False,0.4107,-0.0018,False,0.2929,0.0014,False,0.352,-0.0003,False
ExperienceGroup,High-Edu,168,48,20,64,36,0.6667,-0.0063,False,0.2857,-0.008,False,0.5714,-0.0161,False,0.7619,0.0036,False,0.7059,-0.0027,False,0.64,-0.0077,False,0.2381,-0.0036,False,0.4286,0.0161,False,0.2941,0.0027,False,0.36,0.0077,False
ExperienceGroup,Lower-Edu,312,93,38,118,63,0.6763,0.0034,False,0.2981,0.0043,False,0.5962,0.0087,False,0.7564,-0.0019,False,0.7099,0.0014,False,0.6519,0.0042,False,0.2436,0.0019,False,0.4038,-0.0087,False,0.2901,-0.0014,False,0.3481,-0.0042,False
AgeGroup,Older-35plus,304,91,40,112,61,0.6678,-0.0052,False,0.2993,0.0056,False,0.5987,0.0112,False,0.7368,-0.0215,False,0.6947,-0.0139,False,0.6474,-0.0003,False,0.2632,0.0215,False,0.4013,-0.0112,False,0.3053,0.0139,False,0.3526,0.0003,False
AgeGroup,Young-18-34,176,50,18,70,38,0.6818,0.0089,False,0.2841,-0.0097,False,0.5682,-0.0193,False,0.7955,0.0371,False,0.7353,0.0268,False,0.6481,0.0005,False,0.2045,-0.0371,False,0.4318,0.0193,False,0.2647,-0.0268,False,0.3519,-0.0005,False
