Partition,Group,N,MeanConfidence,MeanAccuracy,CalibrationGap,IsOverconfident,CalibFairFlag
LinguisticGroup,Native,342,0.7587,0.7135,0.0453,True,fair
LinguisticGroup,Non-Native,85,0.7553,0.6471,0.1082,True,[CALIB-UNFAIR]
ExpertiseGroup,Non-STEM,136,0.7225,0.6985,0.024,True,fair
ExpertiseGroup,STEM,291,0.7747,0.701,0.0736,True,fair
ExperienceGroup,High-Edu,154,0.7988,0.6688,0.13,True,[CALIB-UNFAIR]
ExperienceGroup,Lower-Edu,273,0.7351,0.7179,0.0171,True,fair
AgeGroup,Older-35plus,265,0.7567,0.7019,0.0548,True,fair
AgeGroup,Young-18-34,162,0.7603,0.6975,0.0628,True,fair
